date,genotype,animal,food,cond,cue,response.time,pir,group
10_17_17,N2,1,OP50,0_min,oct_1.0,3,1,A
10_17_17,N2,2,OP50,0_min,oct_1.0,4,1,A
10_17_17,N2,3,OP50,0_min,oct_1.0,4.7,0,A
10_17_17,N2,4,OP50,0_min,oct_1.0,3.19,1,A
10_17_17,N2,5,OP50,0_min,oct_1.0,2.6,1,A
10_17_17,N2,6,OP50,0_min,oct_1.0,3.2,1,A
10_17_17,N2,7,OP50,0_min,oct_1.0,1.6,1,A
10_17_17,N2,8,OP50,0_min,oct_1.0,2.2,1,A
10_17_17,N2,9,OP50,0_min,oct_1.0,2.8,1,A
10_17_17,N2,10,OP50,0_min,oct_1.0,1.1,1,A
10_17_17,N2,1,JUb39,0_min,oct_1.0,3.4,0,A
10_17_17,N2,2,JUb39,0_min,oct_1.0,10,1,A
10_17_17,N2,3,JUb39,0_min,oct_1.0,1.5,1,A
10_17_17,N2,4,JUb39,0_min,oct_1.0,2.1,1,A
10_17_17,N2,5,JUb39,0_min,oct_1.0,2.4,1,A
10_17_17,N2,6,JUb39,0_min,oct_1.0,3.1,1,A
10_17_17,N2,7,JUb39,0_min,oct_1.0,9.9,1,A
10_17_17,N2,8,JUb39,0_min,oct_1.0,6.5,1,A
10_17_17,N2,9,JUb39,0_min,oct_1.0,1.3,0,A
10_17_17,N2,10,JUb39,0_min,oct_1.0,2.4,1,A
10_17_17,N2,1,OP50,off_food,oct_1.0,4.1,,B
10_17_17,N2,2,OP50,off_food,oct_1.0,20,,B
10_17_17,N2,3,OP50,off_food,oct_1.0,3.5,,B
10_17_17,N2,4,OP50,off_food,oct_1.0,6.7,,B
10_17_17,N2,5,OP50,off_food,oct_1.0,10.6,,B
10_17_17,N2,6,OP50,off_food,oct_1.0,4.2,,B
10_17_17,N2,7,OP50,off_food,oct_1.0,9.6,,B
10_17_17,N2,8,OP50,off_food,oct_1.0,8,,B
10_17_17,N2,9,OP50,off_food,oct_1.0,1.3,,B
10_17_17,N2,10,OP50,off_food,oct_1.0,1.9,,B
10_17_17,N2,1,JUb39,off_food,oct_1.0,5.1,,B
10_17_17,N2,2,JUb39,off_food,oct_1.0,6.4,,B
10_17_17,N2,3,JUb39,off_food,oct_1.0,20,,B
10_17_17,N2,4,JUb39,off_food,oct_1.0,20,,B
10_17_17,N2,5,JUb39,off_food,oct_1.0,2.5,,B
10_17_17,N2,6,JUb39,off_food,oct_1.0,20,,B
10_17_17,N2,7,JUb39,off_food,oct_1.0,15,,B
10_17_17,N2,8,JUb39,off_food,oct_1.0,6,,B
10_17_17,N2,9,JUb39,off_food,oct_1.0,20,,B
10_17_17,N2,10,JUb39,off_food,oct_1.0,9.6,,B
10_17_17,N2,1,OP50,off_food,oct_1.0,4.2,,C
10_17_17,N2,2,OP50,off_food,oct_1.0,0.6,,C
10_17_17,N2,3,OP50,off_food,oct_1.0,4.7,,C
10_17_17,N2,4,OP50,off_food,oct_1.0,4.2,,C
10_17_17,N2,5,OP50,off_food,oct_1.0,6,,C
10_17_17,N2,6,OP50,off_food,oct_1.0,2.4,,C
10_17_17,N2,7,OP50,off_food,oct_1.0,1.7,,C
10_17_17,N2,8,OP50,off_food,oct_1.0,9.6,,C
10_17_17,N2,9,OP50,off_food,oct_1.0,4.2,,C
10_17_17,N2,10,OP50,off_food,oct_1.0,4.4,,C
10_17_17,N2,11,OP50,off_food,oct_1.0,7.6,,C
