date,genotype,strain,assay,cult.plate,plate,RowA,RowB,C,D,RowE,RowF,User,Note,meta,phylum/class
6_18_18,N2,OP50,1-Oct,,1,4,3,2,1,5,124,,,,
6_18_18,N2,OP50,1-Oct,,2,0,1,4,1,3,42,,,,
6_18_18,N2,OP50,1-Oct,,3,3,2,1,1,13,90,,,,
6_18_18,N2,JUb39,1-Oct,,4,18,10,1,2,10,142,,,,
6_18_18,N2,JUb39,1-Oct,,5,28,14,6,3,4,129,,,,
6_18_18,N2,JUb39,1-Oct,,6,10,2,1,2,2,71,,,,
6_18_18,N2,BL21,1-Oct,,7,1,3,1,2,28,113,,,,
6_18_18,N2,BL21,1-Oct,,8,6,3,1,4,11,97,,,,
6_18_18,N2,BL21,1-Oct,,9,3,1,1,2,20,177,,,,
6_18_18,N2,BL21,1-Oct,,10,0,1,1,1,3,17,,,,
6_18_18,N2,BL21,1-Oct,,11,1,3,0,2,13,59,,,,
6_18_18,N2,BL21,1-Oct,,12,5,2,2,0,7,60,,,,
6_18_18,N2,BL21_tdc+,1-Oct,,13,16,6,1,3,10,52,,,,
6_18_18,N2,BL21_tdc+,1-Oct,,14,16,11,0,4,21,185,,,,
6_18_18,N2,BL21_tdc+,1-Oct,,15,15,4,1,1,16,117,,,,
6_18_18,N2,BL21_tdc+,1-Oct,,16,9,36,2,2,5,166,,,,
6_18_18,N2,BL21_tdc+,1-Oct,,17,8,3,2,2,7,131,,,,
6_18_18,N2,BL21_tdc+,1-Oct,,18,1,3,0,1,4,61,,,,
7_21_18,N2,OP50,1-Oct,,19,10,4,2,3,8,57,,,,
7_21_18,N2,OP50,1-Oct,,20,5,2,0,2,9,71,,,,
7_21_18,N2,JUb39,1-Oct,,21,44,23,8,15,29,260,,,,
7_21_18,tdc-1,OP50,1-Oct,,22,7,1,4,1,28,98,,,,
7_21_18,tdc-1,OP50,1-Oct,,23,3,3,3,4,23,86,,,,
7_21_18,tdc-1,JUb39,1-Oct,,24,14,14,6,7,32,217,,,,
7_21_18,tdc-1,JUb39,1-Oct,,25,14,13,1,6,6,191,,,,
7_21_18,N2,BL21,1-Oct,,26,1,1,3,1,4,70,,,,
7_21_18,N2,BL21,1-Oct,,27,2,2,0,6,18,74,,,,
7_21_18,N2,BL21_tdc+,1-Oct,,28,6,5,3,2,10,85,,,,
7_21_18,N2,BL21_tdc+,1-Oct,,29,9,6,1,2,24,96,,,,
7_21_18,tdc-1,BL21,1-Oct,,30,20,6,7,3,27,86,,,,
7_21_18,tdc-1,BL21,1-Oct,,31,9,10,3,2,20,108,,,,
7_21_18,tdc-1,BL21_tdc+,1-Oct,,32,11,6,0,6,10,56,,,,
7_21_18,tdc-1,BL21_tdc+,1-Oct,,33,32,12,2,2,13,93,,,,
7_21_18,N2,E.d.655,1-Oct,,34,6,2,1,2,0,35,,,,
7_21_18,N2,E.d.655,1-Oct,,35,27,8,7,6,12,126,,,,
7_21_18,N2,E.d.655_tdcDel,1-Oct,,36,7,6,5,2,4,55,,,,
7_21_18,N2,E.d.655_tdcDel,1-Oct,,37,1,2,2,3,11,61,,,,
7_21_18,tdc-1,E.d.655,1-Oct,,38,10,11,7,4,22,108,,,,
7_21_18,tdc-1,E.d.655,1-Oct,,39,4,1,2,6,3,51,,,,
7_21_18,tdc-1,E.d.655_tdcDel,1-Oct,,40,1,0,0,0,7,43,,,,
7_21_18,tdc-1,E.d.655_tdcDel,1-Oct,,41,14,2,0,2,18,58,,,,
